Time    U    dU_0    dU_1    dU_2    dU_3    dU_4    dU_5    dU_6    dU_7    dU_8    dU_9    dU_10    dU_11    dU_12    dU_13    dU_14    dU_15    dU_16    dU_17    dU_18    dU_19    dU_20    dU_21    dU_22    dU_23    dU_24    dU_25    dU_26    dU_27    dU_28    dU_29    dU_30    dU_31    dU_32    dU_33    dU_34    dU_35    dU_36    dU_37    dU_38    dU_39    dU_40    dU_41    dU_42    dU_43    dU_44    dU_45    dU_46    dU_47    dU_48    dU_49    dU_50    dU_51    dU_52    dU_53    dU_54    dU_55    dU_56    dU_57    dU_58    dU_59    dU_60    dU_61    dU_62    dU_63    pV
0.2000 -433616.94 -85.437500 -84.156250 -82.843750 -81.531250 -80.218750 -78.937500 -77.625000 -76.312500 -75.000000 -56.625000 -38.562500 -18.687500 0.0000000 20.937500 41.406250 63.812500 85.937500 110.00000 133.93750 157.68750 183.59375 210.28125 237.31250 264.00000 293.78125 320.93750 351.71875 381.71875 412.96875 409.21875 407.28125 406.90625 407.84375 409.84375 412.78125 416.59375 421.03125 426.15625 431.78125 437.96875 444.53125 451.46875 458.78125 466.40625 474.28125 481.03125 487.96875 493.53125 499.15625 506.40625 513.71875 521.15625 528.71875 537.84375 547.09375 556.40625 565.78125 575.28125 584.90625 594.46875 604.09375 613.84375 623.53125 633.09375 20.362186
0.4000 -433748.00 -81.187500 -80.937500 -80.625000 -80.406250 -80.093750 -79.843750 -79.531250 -79.250000 -79.000000 -59.031250 -41.906250 -20.875000 0.0000000 19.906250 42.937500 66.000000 89.406250 112.56250 136.68750 162.18750 188.56250 214.84375 242.43750 270.62500 299.56250 328.15625 358.75000 389.34375 420.37500 409.06250 400.62500 394.46875 390.50000 388.06250 387.12500 387.50000 389.00000 391.43750 394.81250 399.00000 403.75000 409.12500 415.09375 421.37500 428.12500 434.15625 440.28125 445.43750 450.71875 457.43750 464.34375 471.37500 478.62500 487.40625 496.37500 505.46875 514.75000 524.06250 533.56250 543.12500 552.78125 562.56250 572.31250 581.96875 20.349216
0.6000 -434156.31 -97.500000 -96.031250 -94.593750 -93.125000 -91.656250 -90.187500 -88.750000 -87.281250 -85.812500 -65.906250 -44.750000 -22.843750 0.0000000 23.625000 47.812500 72.281250 98.312500 124.34375 151.46875 180.15625 208.37500 237.90625 267.46875 299.03125 331.21875 365.62500 399.34375 432.68750 468.25000 462.12500 458.03125 455.56250 454.75000 455.12500 456.68750 459.15625 462.65625 466.75000 471.50000 476.96875 482.84375 489.25000 496.09375 503.31250 510.78125 517.31250 523.96875 529.46875 535.06250 542.12500 549.43750 556.75000 564.18750 573.25000 582.50000 591.87500 601.28125 610.78125 620.43750 630.09375 639.96875 649.78125 659.59375 669.31250 20.326431
0.8000 -434227.03 -78.750000 -77.812500 -76.906250 -76.000000 -75.062500 -74.125000 -73.156250 -72.250000 -71.343750 -55.468750 -37.593750 -19.343750 0.0000000 17.593750 36.406250 58.187500 78.968750 99.875000 122.87500 146.78125 171.50000 196.31250 221.78125 248.37500 274.96875 302.46875 331.78125 360.81250 390.75000 387.90625 386.53125 386.50000 387.59375 389.71875 392.68750 396.43750 400.90625 405.84375 411.43750 417.50000 423.84375 430.68750 437.84375 445.21875 453.00000 459.56250 466.37500 471.87500 477.43750 484.50000 491.71875 499.03125 506.34375 515.34375 524.46875 533.62500 542.96875 552.25000 561.62500 571.12500 580.65625 590.18750 599.84375 609.18750 20.346212
1.0000 -435005.22 -75.156250 -73.218750 -71.281250 -69.375000 -67.437500 -65.500000 -63.593750 -61.656250 -59.718750 -44.906250 -31.875000 -15.968750 0.0000000 16.500000 35.000000 52.906250 71.875000 92.156250 112.93750 132.87500 153.78125 177.25000 201.09375 225.12500 249.06250 275.56250 301.34375 327.50000 354.87500 348.06250 343.40625 340.56250 339.34375 339.43750 340.71875 342.96875 346.09375 350.06250 354.68750 359.93750 365.78125 372.06250 378.71875 385.84375 393.15625 399.59375 406.12500 411.53125 417.03125 424.06250 431.21875 438.46875 445.87500 454.87500 463.96875 473.18750 482.56250 492.00000 501.50000 511.18750 520.75000 530.46875 540.18750 549.81250 20.303608
1.2000 -435049.75 -86.468750 -84.250000 -82.000000 -79.781250 -77.531250 -75.312500 -73.062500 -70.875000 -68.593750 -52.906250 -35.906250 -18.625000 0.0000000 18.687500 39.187500 60.218750 82.687500 104.03125 128.18750 152.28125 176.68750 203.06250 229.18750 255.93750 284.03125 313.06250 344.50000 373.90625 405.12500 400.40625 397.46875 396.06250 396.00000 397.12500 399.18750 402.18750 405.93750 410.31250 415.28125 420.81250 426.71875 433.12500 439.93750 447.00000 454.40625 460.75000 467.25000 472.62500 478.06250 484.93750 491.90625 499.03125 506.28125 514.96875 523.87500 532.90625 542.03125 551.15625 560.37500 569.65625 579.09375 588.50000 598.00000 607.25000 20.346970
1.4000 -434897.31 -82.531250 -81.593750 -80.625000 -79.656250 -78.687500 -77.750000 -76.750000 -75.812500 -74.843750 -56.937500 -38.562500 -19.187500 0.0000000 20.375000 42.250000 63.125000 85.843750 108.15625 132.81250 156.93750 182.75000 208.00000 234.84375 263.71875 290.93750 320.50000 349.25000 379.81250 410.25000 408.03125 407.34375 407.81250 409.34375 411.84375 415.15625 419.15625 423.65625 428.90625 434.43750 440.50000 446.90625 453.62500 460.84375 468.15625 475.71875 482.28125 488.84375 494.28125 499.71875 506.65625 513.68750 520.81250 527.96875 536.81250 545.62500 554.56250 563.53125 572.62500 581.78125 590.96875 600.21875 609.53125 618.78125 627.96875 20.353197
1.6000 -435078.50 -85.406250 -83.500000 -81.593750 -79.687500 -77.781250 -75.875000 -73.968750 -72.062500 -70.156250 -53.875000 -35.781250 -18.156250 0.0000000 19.406250 40.437500 61.562500 83.093750 104.81250 128.90625 152.03125 176.12500 201.96875 228.81250 254.96875 284.03125 312.62500 341.93750 371.53125 401.96875 397.06250 394.12500 392.90625 393.12500 394.37500 396.78125 399.93750 403.84375 408.50000 413.71875 419.40625 425.53125 432.06250 438.90625 446.09375 453.50000 459.90625 466.43750 471.75000 477.18750 484.12500 491.12500 498.12500 505.28125 514.00000 522.78125 531.75000 540.68750 549.75000 558.84375 568.06250 577.21875 586.56250 595.87500 604.96875 20.360210
1.8000 -434392.75 -91.281250 -90.375000 -89.406250 -88.468750 -87.562500 -86.625000 -85.718750 -84.781250 -83.812500 -63.593750 -42.437500 -21.125000 0.0000000 23.000000 45.781250 70.781250 95.812500 121.43750 147.65625 174.43750 201.93750 229.68750 259.62500 289.21875 319.84375 350.50000 381.71875 414.18750 447.50000 442.25000 438.96875 437.43750 437.18750 438.21875 440.18750 443.12500 446.84375 451.34375 456.43750 462.00000 468.06250 474.56250 481.46875 488.68750 496.25000 502.75000 509.40625 514.87500 520.37500 527.37500 534.50000 541.71875 549.06250 558.12500 567.09375 576.37500 585.56250 594.96875 604.40625 613.87500 623.56250 633.18750 642.81250 652.34375 20.363214
2.0000 -434829.69 -73.625000 -72.062500 -70.500000 -68.937500 -67.375000 -65.812500 -64.250000 -62.687500 -61.125000 -46.531250 -32.000000 -16.562500 0.0000000 18.375000 35.312500 52.656250 73.375000 92.968750 113.84375 135.21875 157.81250 180.03125 203.15625 227.21875 253.31250 277.53125 303.78125 330.21875 358.21875 356.03125 355.34375 355.84375 357.34375 359.81250 363.12500 367.18750 371.84375 377.09375 382.78125 388.93750 395.53125 402.40625 409.65625 417.15625 424.96875 431.59375 438.31250 443.93750 449.53125 456.59375 463.81250 471.12500 478.53125 487.40625 496.50000 505.56250 514.84375 524.09375 533.56250 542.96875 552.40625 561.90625 571.46875 580.84375 20.365898
