Time    U    dU_0    dU_1    dU_2    dU_3    dU_4    dU_5    dU_6    dU_7    dU_8    dU_9    dU_10    dU_11    dU_12    dU_13    dU_14    dU_15    dU_16    dU_17    dU_18    dU_19    dU_20    dU_21    dU_22    dU_23    dU_24    dU_25    dU_26    dU_27    dU_28    dU_29    dU_30    dU_31    dU_32    dU_33    dU_34    dU_35    dU_36    dU_37    dU_38    dU_39    dU_40    dU_41    dU_42    dU_43    dU_44    dU_45    dU_46    dU_47    dU_48    dU_49    dU_50    dU_51    dU_52    dU_53    dU_54    dU_55    dU_56    dU_57    dU_58    dU_59    dU_60    dU_61    dU_62    dU_63    pV
1.0000 -39445.262 -133.22266 -133.22266 -133.22266 -133.22266 -133.22266 -133.22266 -133.22266 -133.22266 -133.22266 0.0000000 124.39844 239.72266 346.18750 456.94141 555.97266 643.29688 719.00781 783.05859 835.39844 875.93359 905.09375 922.36328 918.10156 914.96094 912.58203 911.03125 910.10156 909.78906 910.02734 910.78516 912.03906 913.66797 915.64844 917.94922 920.53906 923.17188 926.00781 928.89844 931.69141 934.60938 937.36328 940.06641 942.70312 945.25781 947.70703 950.05859 952.44141 955.01172 957.46094 960.09766 962.91797 966.89453 970.93359 975.01172 979.14844 983.32422 987.54297 991.79297 996.08203 1000.3984 1004.7422 1009.1055 1013.4922 1017.8945 1.7892083
2.0000 -39699.113 -134.26172 -134.26172 -134.26172 -134.26172 -134.26172 -134.26172 -134.26172 -134.26172 -134.26172 0.0000000 125.26953 241.60547 348.88281 460.45312 560.28906 648.39062 724.65234 789.22656 842.00000 883.06250 912.34375 929.85547 923.14453 917.88672 913.52734 910.24219 907.68359 905.88281 904.72656 904.20312 904.26172 904.81641 905.81641 907.21094 908.96875 910.88672 913.05469 915.34766 917.62891 920.05078 922.38672 924.70703 926.99219 929.22266 931.39062 933.47266 935.60156 937.91406 940.12891 942.51953 945.08984 948.73828 952.45312 956.23828 960.08203 963.98438 967.93359 971.93750 975.96875 980.05078 984.16016 988.31250 992.47656 996.67188 1.7902473
3.0000 -39779.605 -134.39062 -134.39062 -134.39062 -134.39062 -134.39062 -134.39062 -134.39062 -134.39062 -134.39062 0.0000000 125.43750 241.84766 349.19922 461.00391 560.89844 649.21484 725.78516 790.43359 843.42578 884.69531 914.21875 931.97266 928.12500 925.29688 923.16016 921.78125 920.96875 920.71484 920.97656 921.71484 922.92969 924.46484 926.35938 928.53906 930.98438 933.48047 936.16016 938.89844 941.55469 944.31250 946.92578 949.48047 951.97656 954.39844 956.71875 958.94531 961.20703 963.63672 965.96484 968.46875 971.14453 974.91797 978.74609 982.62891 986.55078 990.51953 994.52734 998.56250 1002.6445 1006.7578 1010.8867 1015.0430 1019.2188 1023.4023 1.7918851
4.0000 -39623.812 -136.19141 -136.19141 -136.19141 -136.19141 -136.19141 -136.19141 -136.19141 -136.19141 -136.19141 0.0000000 127.27344 245.64453 355.13672 469.42578 572.02344 663.14844 742.54688 810.37500 866.44922 911.06641 944.00781 965.35156 958.94922 953.99219 949.90625 946.86328 944.51953 942.91016 941.91797 941.53125 941.69531 942.33203 943.39062 944.82422 946.59375 948.50000 950.64453 952.90234 955.13281 957.50781 959.78516 962.04688 964.27734 966.44141 968.55078 970.57422 972.63281 974.87500 977.01562 979.33594 981.82422 985.34766 988.93359 992.58594 996.29297 1000.0547 1003.8672 1007.7148 1011.6133 1015.5352 1019.4961 1023.4922 1027.5156 1031.5430 1.7954901
5.0000 -39681.188 -136.53125 -136.53125 -136.53125 -136.53125 -136.53125 -136.53125 -136.53125 -136.53125 -136.53125 0.0000000 127.38281 245.82422 355.07812 468.83984 570.79688 660.79297 738.98828 805.24219 859.66797 902.23438 932.91406 951.75000 944.68359 939.20703 934.72656 931.41797 928.87500 927.14453 926.09375 925.70312 925.90234 926.62891 927.79688 929.36328 931.28125 933.36328 935.67969 938.12500 940.53125 943.08203 945.52344 947.94922 950.33203 952.64844 954.89844 957.07031 959.26562 961.65625 963.92969 966.39844 969.05859 972.80469 976.62500 980.50000 984.43750 988.42188 992.45703 996.53516 1000.6523 1004.8125 1008.9961 1013.2148 1017.4570 1021.7148 1.7884524
6.0000 -39844.988 -135.33594 -135.33594 -135.33594 -135.33594 -135.33594 -135.33594 -135.33594 -135.33594 -135.33594 0.0000000 126.32812 243.64844 352.09375 464.99219 566.11328 655.59766 733.33594 799.37500 853.67578 896.29297 927.15234 946.33203 942.15625 939.09766 936.78516 935.28516 934.39062 934.08594 934.32031 935.05078 936.26562 937.82812 939.73438 941.93750 944.42969 946.94531 949.65234 952.42578 955.09375 957.87500 960.51172 963.07812 965.59375 968.01953 970.35547 972.59375 974.85938 977.30859 979.62891 982.12500 984.81641 988.58984 992.41797 996.29297 1000.2109 1004.1680 1008.1641 1012.1875 1016.2500 1020.3359 1024.4453 1028.5742 1032.7266 1036.8867 1.7894552
7.0000 -39654.172 -131.74219 -131.74219 -131.74219 -131.74219 -131.74219 -131.74219 -131.74219 -131.74219 -131.74219 0.0000000 122.92578 236.91016 341.96094 451.10547 548.71484 634.63281 708.96875 771.59766 822.75000 862.17969 890.03516 906.20312 901.53516 897.98047 895.15625 893.16016 891.76953 890.98828 890.75391 891.04688 891.83984 893.02734 894.58203 896.48047 898.68359 900.96484 903.45703 906.04297 908.57422 911.22266 913.74219 916.23047 918.67188 921.03906 923.32812 925.51562 927.75391 930.16406 932.47266 934.95703 937.63672 941.40234 945.23828 949.14062 953.08594 957.09375 961.14062 965.23438 969.36328 973.51953 977.71484 981.94141 986.19922 990.46094 1.7986988
8.0000 -39847.176 -139.85547 -139.85547 -139.85547 -139.85547 -139.85547 -139.85547 -139.85547 -139.85547 -139.85547 0.0000000 130.81641 252.60547 365.25000 483.13281 589.05078 683.19922 765.54297 836.09766 894.83594 941.74609 976.92188 1000.2578 991.64062 984.85156 979.12891 974.75000 971.21094 968.57422 966.67969 965.55078 965.05859 965.17969 965.83594 966.93750 968.45703 970.19531 972.22266 974.42188 976.62500 979.00391 981.31250 983.62109 985.91406 988.15625 990.33984 992.45703 994.61719 996.96875 999.22656 1001.6719 1004.3164 1008.0469 1011.8789 1015.7773 1019.7539 1023.7930 1027.8828 1032.0234 1036.2266 1040.4648 1044.7500 1049.0664 1053.4219 1057.7930 1.8009223
9.0000 -39595.961 -133.14453 -133.14453 -133.14453 -133.14453 -133.14453 -133.14453 -133.14453 -133.14453 -133.14453 0.0000000 124.35938 239.71484 346.23047 457.00781 556.26953 643.71875 719.80078 784.07812 836.77734 877.84375 907.39844 925.22656 920.57812 917.06250 914.32422 912.41016 911.12891 910.45312 910.33594 910.73438 911.64062 912.92578 914.57812 916.54688 918.81250 921.15234 923.69922 926.32031 928.85547 931.53125 934.06250 936.55469 938.99219 941.36719 943.63672 945.82812 948.04688 950.45312 952.74219 955.19922 957.84766 961.58594 965.37891 969.21875 973.11719 977.05469 981.04688 985.06250 989.12500 993.20312 997.32422 1001.4688 1005.6328 1009.8086 1.7989434
10.0000 -39719.258 -137.38672 -137.38672 -137.38672 -137.38672 -137.38672 -137.38672 -137.38672 -137.38672 -137.38672 0.0000000 128.37109 247.58203 357.81641 472.53516 575.51562 666.57031 745.88672 813.21875 868.83203 912.43359 944.30078 964.27734 955.64062 948.85156 943.17188 938.84375 935.37500 932.81250 931.00391 929.94531 929.53906 929.74609 930.44922 931.62109 933.19531 934.97656 937.03125 939.25391 941.48828 943.87109 946.18750 948.50391 950.78906 953.02734 955.20312 957.31250 959.45703 961.80469 964.04297 966.47266 969.08203 972.78906 976.57422 980.42578 984.35156 988.33594 992.37500 996.45312 1000.5938 1004.7617 1008.9727 1013.2188 1017.4922 1021.7891 1.7976831
