Time    U    dU_0    dU_1    dU_2    dU_3    dU_4    dU_5    dU_6    dU_7    dU_8    dU_9    dU_10    dU_11    dU_12    dU_13    dU_14    dU_15    dU_16    dU_17    dU_18    dU_19    dU_20    dU_21    dU_22    dU_23    dU_24    dU_25    dU_26    dU_27    dU_28    dU_29    dU_30    dU_31    dU_32    dU_33    dU_34    dU_35    dU_36    dU_37    dU_38    dU_39    dU_40    dU_41    dU_42    dU_43    dU_44    dU_45    dU_46    dU_47    dU_48    dU_49    dU_50    dU_51    dU_52    dU_53    dU_54    dU_55    dU_56    dU_57    dU_58    dU_59    dU_60    dU_61    dU_62    dU_63    pV
0.2000 -434680.69 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 1.4133715e+11 28744.906 11687.688 6611.7812 4287.1875 2990.7188 2180.9688 1637.0312 1252.5938 970.87500 758.84375 595.81250 468.43750 367.84375 287.75000 223.53125 171.93750 136.75000 107.40625 87.656250 70.687500 52.906250 38.406250 26.812500 17.718750 9.6562500 4.3125000 1.1562500 0.0000000 0.46875000 2.5312500 5.8437500 10.312500 15.750000 22.000000 28.812500 20.292772
0.4000 -434550.12 1324521.1 1324522.8 1324524.5 1324526.0 1324527.8 1324529.2 1324530.9 1324532.6 1324534.2 1324513.1 1324492.0 1324473.8 1324455.2 1324437.0 1324422.2 1324407.5 1324392.2 1324380.0 1324368.0 1324356.6 1324347.5 1324337.8 1324332.0 1324324.0 1324317.2 1324313.6 1324310.0 1324307.4 1324305.1 28116.969 9975.8438 5361.9062 3393.2500 2334.5312 1686.3438 1255.8438 953.84375 733.53125 568.21875 441.40625 343.03125 265.40625 203.96875 155.03125 116.00000 89.656250 68.093750 53.656250 41.406250 28.906250 19.062500 11.437500 5.9062500 1.5000000 -0.75000000 -1.0937500 0.0000000 2.5625000 6.3437500 11.187500 16.875000 23.343750 30.531250 38.218750 20.283144
0.6000 -433288.19 3.9505229e+08 3.9505229e+08 3.9505229e+08 3.9505229e+08 3.9505229e+08 3.9505229e+08 3.9505229e+08 3.9505229e+08 3.9505229e+08 3.9505232e+08 3.9505229e+08 3.9505226e+08 3.9505222e+08 3.9505222e+08 3.9505219e+08 3.9505216e+08 3.9505216e+08 3.9505216e+08 3.9505213e+08 3.9505216e+08 3.9505216e+08 3.9505210e+08 3.9505210e+08 3.9505213e+08 3.9505210e+08 3.9505210e+08 3.9505210e+08 3.9505210e+08 3.9505210e+08 52610.188 17515.688 8964.1250 5450.4062 3632.5000 2559.4375 1869.9062 1399.8750 1065.4688 819.87500 634.93750 493.28125 383.12500 296.53125 228.12500 173.75000 137.06250 106.75000 86.437500 69.093750 51.093750 36.656250 25.187500 16.250000 8.4687500 3.3750000 0.71875000 0.0000000 0.93750000 3.5000000 7.1875000 12.000000 17.843750 24.500000 31.625000 20.342642
0.8000 -432956.12 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 2.1652269e+14 38779.125 13133.469 6854.3438 4237.7812 2862.6250 2038.6562 1501.8438 1131.5312 865.15625 667.68750 517.84375 402.37500 311.90625 240.71875 184.18750 139.21875 108.78125 83.781250 67.093750 52.875000 38.250000 26.468750 17.343750 10.406250 4.5000000 1.0625000 -0.34375000 0.0000000 1.7187500 4.8437500 9.0312500 14.218750 20.250000 27.031250 34.250000 20.347546
1.0000 -434140.25 66605604. 66605604. 66605608. 66605608. 66605608. 66605612. 66605612. 66605616. 66605616. 66605600. 66605592. 66605580. 66605576. 66605564. 66605552. 66605548. 66605540. 66605536. 66605532. 66605524. 66605524. 66605520. 66605520. 66605516. 66605516. 66605516. 66605520. 66605520. 66605524. 45036.094 16986.844 9204.1875 5773.2188 3920.0625 2795.5312 2059.3438 1551.2500 1186.5000 916.75000 712.87500 555.96875 433.65625 337.31250 260.81250 199.96875 158.68750 124.56250 101.62500 81.875000 61.343750 44.687500 31.250000 20.812500 11.562500 5.2500000 1.5625000 0.0000000 0.46875000 2.4062500 5.8125000 10.343750 16.093750 22.687500 29.906250 20.271994
1.2000 -435309.53 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 6.7451396e+10 60102.312 19543.688 9835.2188 5909.6562 3904.4062 2732.9375 1986.5312 1481.2812 1123.9375 862.68750 666.81250 517.15625 401.12500 310.12500 238.28125 181.28125 142.87500 111.18750 89.937500 71.843750 53.062500 37.968750 25.968750 16.593750 8.6562500 3.3750000 0.62500000 0.0000000 1.0000000 3.6875000 7.6875000 12.843750 19.031250 26.125000 33.718750 20.277309
1.4000 -434859.59 42512852. 42512852. 42512852. 42512856. 42512856. 42512856. 42512856. 42512856. 42512856. 42512856. 42512864. 42512868. 42512876. 42512880. 42512888. 42512900. 42512908. 42512916. 42512928. 42512936. 42512956. 42512964. 42512976. 42512992. 42513008. 42513020. 42513040. 42513056. 42513072. 14072.219 5926.0000 3457.5000 2287.0312 1615.1562 1185.4062 891.12500 679.78125 522.90625 403.65625 311.25000 238.87500 181.68750 136.25000 100.18750 71.625000 52.468750 36.937500 26.812500 18.375000 10.000000 3.6875000 -0.78125000 -3.5937500 -5.0625000 -4.8750000 -3.0937500 0.0000000 4.1875000 9.3750000 15.437500 22.375000 29.937500 38.125000 46.562500 20.338184
1.6000 -435379.25 33657768. 33657768. 33657768. 33657768. 33657768. 33657768. 33657768. 33657768. 33657768. 33657760. 33657756. 33657748. 33657744. 33657736. 33657732. 33657732. 33657728. 33657728. 33657724. 33657724. 33657728. 33657728. 33657728. 33657728. 33657732. 33657736. 33657740. 33657744. 33657748. 20787.125 7824.1250 4328.1875 2788.8125 1942.5312 1415.5625 1060.5625 808.78125 623.25000 482.90625 374.71875 290.18750 223.31250 170.37500 128.12500 94.437500 71.812500 53.250000 40.968750 30.718750 20.250000 12.031250 6.0000000 1.7187500 -1.3750000 -2.5000000 -2.0000000 0.0000000 3.2187500 7.5625000 12.906250 18.906250 25.750000 33.312500 41.187500 20.349653
1.8000 -435749.56 1.3750732e+09 1.3750732e+09 1.3750732e+09 1.3750732e+09 1.3750732e+09 1.3750732e+09 1.3750732e+09 1.3750732e+09 1.3750732e+09 1.3750733e+09 1.3750733e+09 1.3750732e+09 1.3750733e+09 1.3750733e+09 1.3750733e+09 1.3750733e+09 1.3750732e+09 1.3750732e+09 1.3750732e+09 1.3750733e+09 1.3750732e+09 1.3750732e+09 1.3750733e+09 1.3750733e+09 1.3750732e+09 1.3750732e+09 1.3750733e+09 1.3750733e+09 1.3750733e+09 23649.594 10305.156 6086.9062 4059.4688 2888.0312 2136.7188 1621.6875 1251.9375 977.53125 768.78125 606.96875 479.65625 378.50000 297.43750 232.25000 179.56250 143.46875 113.37500 92.875000 75.281250 56.750000 41.656250 29.343750 19.718750 11.093750 5.2187500 1.5937500 0.0000000 0.40625000 2.0625000 5.0937500 9.2812500 14.625000 20.781250 27.437500 20.292830
2.0000 -434959.19 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 1.0502757e+16 37892.688 13343.719 7129.9375 4471.0312 3049.0000 2187.0000 1620.7188 1227.6875 943.62500 732.18750 571.18750 446.56250 348.81250 271.43750 209.65625 160.40625 126.84375 99.031250 80.312500 64.312500 47.687500 34.187500 23.500000 15.218750 7.9062500 3.1875000 0.62500000 0.0000000 0.96875000 3.3125000 6.9375000 11.593750 17.156250 23.593750 30.468750 20.296831
