Time    U    dU_0    dU_1    dU_2    dU_3    dU_4    dU_5    dU_6    dU_7    dU_8    dU_9    dU_10    dU_11    dU_12    dU_13    dU_14    dU_15    dU_16    dU_17    dU_18    dU_19    dU_20    dU_21    dU_22    dU_23    dU_24    dU_25    dU_26    dU_27    dU_28    dU_29    dU_30    dU_31    dU_32    dU_33    dU_34    dU_35    dU_36    dU_37    dU_38    dU_39    dU_40    dU_41    dU_42    dU_43    dU_44    dU_45    dU_46    dU_47    dU_48    dU_49    dU_50    dU_51    dU_52    dU_53    dU_54    dU_55    dU_56    dU_57    dU_58    dU_59    dU_60    dU_61    dU_62    dU_63    pV
0.2000 -434230.03 -50.437500 -49.593750 -48.781250 -47.906250 -47.062500 -46.250000 -45.375000 -44.531250 -43.718750 -22.156250 0.0000000 24.312500 49.062500 74.281250 100.46875 128.21875 155.59375 184.06250 213.81250 242.21875 273.15625 304.71875 337.28125 369.50000 404.25000 436.93750 473.15625 508.90625 545.84375 542.34375 540.50000 540.15625 540.84375 542.68750 545.46875 549.03125 553.28125 558.15625 563.59375 569.59375 575.93750 582.59375 589.71875 597.06250 604.78125 611.34375 618.03125 623.53125 629.12500 636.15625 643.25000 650.50000 657.87500 666.90625 675.90625 684.96875 694.21875 703.59375 712.93750 722.34375 731.81250 741.40625 750.90625 760.31250 20.321110
0.4000 -435483.66 -53.593750 -52.593750 -51.593750 -50.562500 -49.562500 -48.531250 -47.531250 -46.500000 -45.500000 -23.406250 0.0000000 22.843750 45.437500 70.875000 95.875000 122.71875 148.93750 175.21875 204.03125 233.03125 263.06250 292.78125 322.18750 352.78125 385.12500 417.87500 451.53125 483.87500 517.87500 512.81250 509.56250 508.09375 507.84375 508.87500 511.00000 513.90625 517.56250 522.09375 527.06250 532.59375 538.68750 545.09375 551.93750 558.93750 566.40625 572.75000 579.34375 584.68750 590.06250 597.00000 604.03125 611.12500 618.34375 627.15625 636.06250 645.06250 654.18750 663.31250 672.59375 681.87500 691.25000 700.62500 710.09375 719.34375 20.318604
0.6000 -434571.97 -54.250000 -53.750000 -53.218750 -52.718750 -52.250000 -51.718750 -51.218750 -50.687500 -50.187500 -23.687500 0.0000000 25.656250 52.968750 79.781250 108.37500 134.68750 165.06250 193.87500 224.81250 256.34375 287.40625 318.53125 353.00000 387.34375 422.21875 457.46875 494.03125 529.56250 567.34375 559.93750 554.53125 551.18750 549.40625 548.96875 549.75000 551.56250 554.15625 557.65625 561.75000 566.56250 571.87500 577.59375 583.71875 590.31250 597.21875 603.21875 609.34375 614.34375 619.53125 626.09375 632.78125 639.59375 646.59375 654.96875 663.59375 672.28125 681.09375 689.90625 698.96875 707.96875 717.12500 726.31250 735.53125 744.53125 20.345371
0.8000 -434442.72 -42.343750 -41.593750 -40.843750 -40.125000 -39.375000 -38.625000 -37.875000 -37.125000 -36.375000 -18.875000 0.0000000 21.000000 39.250000 61.031250 83.500000 105.03125 128.71875 151.93750 176.37500 201.78125 229.12500 255.00000 282.59375 310.40625 340.28125 368.65625 399.50000 431.12500 462.75000 454.53125 448.46875 444.46875 442.09375 441.18750 441.53125 442.87500 445.21875 448.40625 452.21875 456.68750 461.71875 467.21875 473.18750 479.46875 486.18750 491.96875 497.90625 502.84375 507.90625 514.28125 520.81250 527.46875 534.28125 542.53125 551.09375 559.59375 568.21875 576.96875 585.78125 594.65625 603.65625 612.68750 621.78125 630.68750 20.337467
1.0000 -434827.97 -43.218750 -42.343750 -41.468750 -40.593750 -39.718750 -38.812500 -37.968750 -37.093750 -36.218750 -17.843750 0.0000000 19.468750 37.843750 58.031250 79.281250 99.875000 123.03125 144.75000 168.06250 192.56250 215.87500 241.09375 267.28125 294.15625 320.18750 347.34375 375.43750 403.78125 433.28125 429.09375 426.56250 425.68750 425.90625 427.34375 429.59375 432.65625 436.40625 440.78125 445.78125 451.12500 456.90625 463.12500 469.59375 476.37500 483.43750 489.46875 495.71875 500.78125 505.81250 512.40625 519.06250 525.78125 532.65625 540.84375 549.25000 557.71875 566.21875 574.87500 583.46875 592.21875 601.06250 609.90625 618.71875 627.40625 20.283382
1.2000 -434406.12 -50.593750 -49.500000 -48.343750 -47.250000 -46.125000 -45.000000 -43.875000 -42.750000 -41.656250 -19.812500 0.0000000 21.906250 44.343750 66.406250 90.968750 117.00000 141.93750 167.65625 193.93750 221.53125 249.68750 278.25000 307.84375 336.03125 367.56250 397.90625 431.00000 461.78125 496.09375 483.00000 473.46875 466.90625 462.59375 460.21875 459.43750 460.18750 461.96875 464.75000 468.40625 472.81250 477.78125 483.46875 489.59375 496.28125 503.31250 509.40625 515.71875 520.93750 526.28125 533.03125 540.03125 547.18750 554.46875 563.21875 572.28125 581.40625 590.65625 600.03125 609.46875 619.03125 628.71875 638.34375 648.06250 657.65625 20.324839
1.4000 -434136.91 -43.812500 -43.531250 -43.281250 -43.000000 -42.750000 -42.468750 -42.250000 -41.937500 -41.687500 -20.968750 0.0000000 19.843750 43.093750 66.718750 90.937500 114.62500 140.71875 165.75000 192.18750 219.59375 246.68750 274.65625 301.81250 331.78125 360.65625 391.09375 421.25000 452.56250 484.56250 479.06250 475.56250 473.75000 473.50000 474.37500 476.40625 479.31250 483.15625 487.56250 492.62500 498.31250 504.53125 511.12500 518.21875 525.53125 533.18750 539.68750 546.50000 552.00000 557.59375 564.71875 571.96875 579.40625 586.81250 595.96875 605.12500 614.46875 623.93750 633.46875 643.06250 652.68750 662.37500 672.18750 681.93750 691.56250 20.318186
1.6000 -434630.47 -42.937500 -42.062500 -41.156250 -40.281250 -39.406250 -38.531250 -37.656250 -36.781250 -35.875000 -20.781250 0.0000000 18.656250 40.343750 60.750000 82.187500 103.93750 127.37500 151.68750 177.31250 202.37500 228.40625 255.46875 284.93750 311.78125 341.31250 370.78125 402.43750 433.03125 464.84375 458.78125 454.81250 452.53125 451.87500 452.40625 454.03125 456.65625 460.06250 464.15625 468.96875 474.34375 480.21875 486.53125 493.15625 500.21875 507.62500 513.84375 520.34375 525.71875 531.09375 538.00000 545.00000 552.12500 559.37500 568.15625 577.06250 586.03125 595.12500 604.37500 613.59375 622.96875 632.40625 641.87500 651.34375 660.65625 20.251980
1.8000 -434157.78 -60.500000 -58.656250 -56.781250 -54.937500 -53.093750 -51.187500 -49.375000 -47.500000 -45.625000 -23.375000 0.0000000 23.968750 49.031250 74.437500 100.12500 125.96875 153.31250 181.56250 211.40625 239.96875 270.34375 300.81250 332.03125 364.96875 396.37500 430.53125 464.34375 499.87500 534.90625 530.84375 528.59375 527.65625 528.03125 529.43750 531.78125 534.96875 538.90625 543.46875 548.65625 554.28125 560.31250 566.84375 573.68750 580.87500 588.31250 594.71875 601.34375 606.65625 612.09375 619.03125 626.09375 633.18750 640.53125 649.34375 658.15625 667.21875 676.37500 685.59375 694.90625 704.21875 713.59375 723.06250 732.59375 741.84375 20.256960
2.0000 -434023.53 -55.218750 -53.875000 -52.531250 -51.218750 -49.875000 -48.531250 -47.187500 -45.843750 -44.500000 -22.000000 0.0000000 23.968750 48.125000 72.093750 98.343750 123.65625 150.34375 178.03125 207.31250 236.25000 265.37500 296.12500 327.65625 358.75000 391.28125 424.62500 458.90625 493.21875 528.81250 521.87500 517.15625 514.31250 512.90625 513.03125 514.28125 516.56250 519.68750 523.56250 528.21875 533.43750 539.21875 545.37500 552.03125 559.00000 566.31250 572.62500 579.09375 584.37500 589.87500 596.75000 603.81250 610.90625 618.15625 627.06250 636.03125 645.06250 654.28125 663.59375 672.93750 682.43750 691.84375 701.37500 710.90625 720.40625 20.338013
