Time    U    dU_0    dU_1    dU_2    dU_3    dU_4    dU_5    dU_6    dU_7    dU_8    dU_9    dU_10    dU_11    dU_12    dU_13    dU_14    dU_15    dU_16    dU_17    dU_18    dU_19    dU_20    dU_21    dU_22    dU_23    dU_24    dU_25    dU_26    dU_27    dU_28    dU_29    dU_30    dU_31    dU_32    dU_33    dU_34    dU_35    dU_36    dU_37    dU_38    dU_39    dU_40    dU_41    dU_42    dU_43    dU_44    dU_45    dU_46    dU_47    dU_48    dU_49    dU_50    dU_51    dU_52    dU_53    dU_54    dU_55    dU_56    dU_57    dU_58    dU_59    dU_60    dU_61    dU_62    dU_63    pV
1.0000 -39978.340 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 135.74219 262.63281 380.49219 489.48438 603.04297 704.83203 794.96875 873.36719 940.19531 995.23828 1038.6211 1070.3438 1090.4023 1085.5352 1081.8672 1078.9805 1076.9727 1075.5938 1074.8711 1074.6992 1075.0625 1075.9375 1077.2070 1078.8633 1080.8398 1083.1211 1085.4883 1088.0469 1090.6992 1093.2656 1095.9688 1098.5430 1101.0664 1103.5391 1105.9414 1108.2461 1110.4688 1112.7227 1115.1602 1117.4805 1119.9844 1122.6719 1126.4688 1130.3203 1134.2266 1138.1875 1142.1992 1146.2461 1150.3320 1154.4531 1158.6133 1162.8008 1167.0156 1171.2578 1175.5039 1.7963217
2.0000 -40171.461 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 137.18750 265.33984 384.45312 494.57031 609.32812 712.35156 803.46484 882.85547 950.46094 1006.2812 1050.2344 1082.4102 1102.8398 1099.7812 1097.6523 1096.1914 1095.4258 1095.2031 1095.4961 1096.2930 1097.5312 1099.2227 1101.2188 1103.5234 1106.0977 1108.9336 1111.7656 1114.7734 1117.8125 1120.7305 1123.7617 1126.6055 1129.3789 1132.0742 1134.6914 1137.1836 1139.5664 1141.9883 1144.5938 1147.0742 1149.7383 1152.5859 1156.5898 1160.6484 1164.7500 1168.8945 1173.0820 1177.3125 1181.5703 1185.8477 1190.1680 1194.4961 1198.8594 1203.2344 1207.6211 1.7910993
3.0000 -40150.203 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 136.78906 264.54297 383.30469 493.08984 607.50000 710.10547 801.02344 880.09375 947.47266 1003.0312 1046.8867 1078.9258 1099.2500 1093.9922 1089.9609 1086.7266 1084.4297 1082.7734 1081.7852 1081.3789 1081.5391 1082.2227 1083.3320 1084.8398 1086.7031 1088.8789 1091.1523 1093.6523 1096.2422 1098.7773 1101.4453 1103.9961 1106.5078 1108.9570 1111.3438 1113.6602 1115.8672 1118.1250 1120.5625 1122.9023 1125.4023 1128.1094 1131.9219 1135.7969 1139.7344 1143.7266 1147.7695 1151.8633 1156.0000 1160.1641 1164.3711 1168.6094 1172.8789 1177.1719 1181.4766 1.7994262
4.0000 -39921.996 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 134.89453 260.97656 378.33203 486.79297 600.05078 701.75391 792.01953 870.80859 938.04688 993.73828 1038.0508 1070.7344 1092.1250 1085.7188 1080.7422 1076.6641 1073.6484 1071.3438 1069.7891 1068.8555 1068.5508 1068.8086 1069.5547 1070.7305 1072.2930 1074.1953 1076.2500 1078.5312 1080.9414 1083.3164 1085.8398 1088.2461 1090.6406 1092.9922 1095.2852 1097.5039 1099.6406 1101.8281 1104.1836 1106.4492 1108.8789 1111.5156 1115.2227 1119.0078 1122.8555 1126.7617 1130.7227 1134.7305 1138.7891 1142.8789 1147.0156 1151.1836 1155.3828 1159.6211 1163.8555 1.8033124
5.0000 -40054.328 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 133.77734 258.70312 374.87109 482.10156 593.88672 694.14062 782.80859 860.00781 925.59375 979.78516 1022.3633 1053.3555 1072.9219 1067.7578 1063.8242 1060.6875 1058.4727 1056.9219 1056.0234 1055.7227 1055.9766 1056.7773 1057.9961 1059.6055 1061.5781 1063.8672 1066.2383 1068.8398 1071.5352 1074.1641 1076.9180 1079.5391 1082.1328 1084.6562 1087.1133 1089.4961 1091.7656 1094.0938 1096.5898 1098.9844 1101.5625 1104.3359 1108.2344 1112.2070 1116.2383 1120.3281 1124.4648 1128.6602 1132.8789 1137.1445 1141.4375 1145.7656 1150.1289 1154.5039 1158.9023 1.7990147
6.0000 -39553.742 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 136.38281 263.83594 382.32812 491.83594 605.99609 708.43359 799.33984 878.36328 945.69531 1001.4102 1045.4375 1077.6602 1098.2539 1092.8320 1088.6289 1085.1914 1082.6680 1080.7539 1079.4922 1078.7852 1078.6211 1078.9609 1079.7266 1080.8789 1082.3750 1084.1836 1086.1133 1088.2539 1090.5039 1092.7109 1095.0508 1097.3008 1099.5195 1101.7070 1103.8281 1105.8945 1107.8789 1109.9062 1112.0938 1114.1875 1116.4492 1118.8945 1122.3359 1125.8359 1129.4102 1133.0273 1136.6992 1140.4258 1144.1836 1147.9844 1151.8203 1155.6836 1159.5820 1163.5039 1167.4414 1.8174102
7.0000 -39936.445 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 135.57031 262.02344 379.67578 488.36328 601.58984 703.10547 792.99609 871.17969 937.73047 992.59375 1035.7031 1067.1250 1086.9180 1081.5898 1077.4844 1074.1406 1071.6992 1069.8906 1068.7227 1068.1211 1068.0625 1068.5039 1069.3633 1070.6094 1072.2070 1074.0977 1076.1133 1078.3398 1080.6641 1082.9492 1085.3672 1087.6797 1089.9688 1092.2109 1094.3906 1096.5156 1098.5469 1100.6289 1102.8633 1105.0156 1107.3281 1109.8203 1113.3438 1116.9258 1120.5703 1124.2773 1128.0352 1131.8203 1135.6680 1139.5469 1143.4609 1147.4102 1151.3906 1155.3828 1159.4062 1.7866862
8.0000 -39744.777 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 133.83203 258.50781 374.16797 480.69531 591.25391 689.92578 776.76562 851.60156 914.64062 965.73438 1004.9023 1032.2500 1047.6875 1041.1211 1036.0000 1031.7695 1028.6016 1026.1328 1024.4062 1023.3047 1022.8242 1022.8945 1023.4531 1024.4453 1025.8125 1027.5312 1029.3945 1031.5000 1033.7305 1035.9375 1038.2930 1040.5547 1042.8008 1045.0117 1047.1758 1049.2734 1051.2891 1053.3516 1055.5898 1057.7344 1060.0469 1062.5391 1066.0664 1069.6641 1073.3203 1077.0391 1080.8125 1084.6367 1088.5000 1092.4141 1096.3516 1100.3320 1104.3477 1108.3750 1112.4336 1.7990414
9.0000 -40109.742 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 135.53516 262.08984 379.88672 488.72266 602.15625 704.15625 794.45703 873.24609 940.35547 995.84766 1039.8438 1072.2188 1093.0117 1087.7578 1083.7773 1080.6016 1078.3594 1076.7812 1075.8789 1075.5625 1075.8047 1076.5898 1077.7891 1079.3867 1081.3320 1083.5859 1085.9375 1088.5000 1091.1484 1093.7461 1096.4570 1099.0469 1101.5977 1104.0898 1106.5000 1108.8398 1111.0820 1113.3672 1115.8281 1118.1758 1120.7109 1123.4297 1127.2656 1131.1719 1135.1250 1139.1406 1143.1953 1147.2969 1151.4492 1155.6328 1159.8320 1164.0781 1168.3477 1172.6523 1176.9492 1.7766310
10.0000 -39338.562 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 132.95312 256.89062 371.79297 477.68359 587.83594 686.16406 772.80859 847.63281 910.72266 962.10156 1001.7148 1029.6680 1045.7227 1040.5664 1036.6445 1033.5234 1031.3086 1029.7422 1028.8359 1028.5000 1028.7070 1029.4414 1030.5859 1032.1211 1033.9922 1036.1680 1038.4375 1040.9258 1043.5000 1046.0039 1048.6328 1051.1523 1053.6250 1056.0508 1058.3984 1060.6719 1062.8516 1065.0664 1067.4570 1069.7461 1072.2109 1074.8711 1078.6016 1082.4023 1086.2500 1090.1602 1094.1211 1098.1211 1102.1562 1106.2344 1110.3477 1114.4805 1118.6445 1122.8359 1127.0391 1.8219198
