Time    U    dU_0    dU_1    dU_2    dU_3    dU_4    dU_5    dU_6    dU_7    dU_8    dU_9    dU_10    dU_11    dU_12    dU_13    dU_14    dU_15    dU_16    dU_17    dU_18    dU_19    dU_20    dU_21    dU_22    dU_23    dU_24    dU_25    dU_26    dU_27    dU_28    dU_29    dU_30    dU_31    dU_32    dU_33    dU_34    dU_35    dU_36    dU_37    dU_38    dU_39    dU_40    dU_41    dU_42    dU_43    dU_44    dU_45    dU_46    dU_47    dU_48    dU_49    dU_50    dU_51    dU_52    dU_53    dU_54    dU_55    dU_56    dU_57    dU_58    dU_59    dU_60    dU_61    dU_62    dU_63    pV
0.2000 -46664.723 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 24.042969 48.636719 73.722656 99.191406 125.27344 151.83984 178.88281 206.30078 234.34375 262.79688 291.86719 321.39844 351.31641 381.96094 413.01953 444.48438 476.39453 508.94141 541.97266 575.44922 567.54688 561.64844 557.42969 554.64062 553.06250 552.51953 552.89062 554.03906 555.87500 558.30469 561.27734 564.71875 568.57031 572.78125 577.33203 582.16797 586.39453 590.79297 594.41797 598.13281 602.89062 607.77734 612.75781 617.83594 624.05859 630.39844 636.83984 643.37891 649.99609 656.68750 663.44141 670.25781 677.13281 684.04688 690.98438 2.1621208
0.4000 -46891.387 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 21.070312 42.910156 65.378906 88.480469 112.34375 137.01172 161.99609 187.92578 214.54297 241.67188 269.55078 298.14062 327.48828 357.41406 388.01562 419.37109 451.30859 484.00781 517.26953 551.29688 541.88672 534.57422 529.04688 525.06250 522.39844 520.89062 520.39062 520.77344 521.93750 523.78906 526.24219 529.25000 532.73828 536.65625 540.96875 545.62109 549.73828 554.05859 557.63281 561.32812 566.07812 570.98047 576.00781 581.15625 587.48047 593.95312 600.55469 607.26562 614.08594 621.00781 628.01562 635.09375 642.22266 649.43750 656.67578 2.1596749
0.6000 -46902.793 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 25.527344 51.496094 77.914062 104.69141 132.02344 159.81250 187.99219 216.82812 246.08203 275.73828 305.80078 336.33984 367.39453 398.94922 430.87891 463.35547 496.21875 529.61719 563.42188 597.64844 588.89453 582.19922 577.25000 573.78125 571.56641 570.46094 570.29297 570.97266 572.38281 574.42969 577.04688 580.16016 583.72266 587.68359 592.00000 596.64062 600.70703 604.96484 608.50000 612.12109 616.77344 621.55469 626.46484 631.47656 637.62500 643.90234 650.28125 656.77734 663.35547 670.02344 676.78125 683.58594 690.46094 697.37109 704.32812 2.1570542
0.8000 -46315.594 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 29.625000 59.812500 90.210938 121.16016 152.46484 184.12500 216.29297 248.75000 281.69531 314.99219 348.71094 382.83203 417.37500 452.29297 487.58203 523.43359 559.58594 596.13672 633.05078 670.45312 656.94922 646.30859 638.06250 631.81641 627.27344 624.18750 622.34375 621.59375 621.78906 622.80859 624.56250 626.96094 629.92188 633.38281 637.30469 641.62500 645.50000 649.60156 653.03125 656.58203 661.18750 665.94531 670.85938 675.91406 682.12891 688.51172 695.04688 701.70703 708.48828 715.37109 722.34766 729.41016 736.55469 743.76562 751.01562 2.1733453
1.0000 -46904.512 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 28.441406 57.187500 86.867188 117.00781 147.75000 179.07422 210.94531 243.53906 276.67969 310.44531 344.74219 379.70703 415.16797 451.29297 488.03125 525.33594 563.32422 601.78125 640.96875 680.69531 674.78125 670.47656 667.54688 665.76953 665.01953 665.16406 666.06250 667.65234 669.84766 672.57812 675.77734 679.40234 683.40234 687.73047 692.36719 697.27734 701.55078 705.98438 709.62891 713.35547 718.11719 723.00391 727.98438 733.07031 739.27734 745.60156 752.01953 758.53516 765.12500 771.79297 778.51953 785.31641 792.16016 799.04297 805.95312 2.1717811
1.2000 -46730.449 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 21.464844 43.429688 66.035156 89.164062 112.82812 137.16797 161.99219 187.39844 213.47266 239.98438 267.06250 294.90234 323.05469 351.99219 381.32422 411.36719 441.92188 472.91797 504.75391 536.89453 529.60156 524.11328 520.18359 517.56250 516.07812 515.59375 515.97656 517.11719 518.92969 521.31641 524.23438 527.59766 531.39844 535.53906 540.01562 544.79297 548.96484 553.32031 556.90625 560.57812 565.29688 570.14062 575.07812 580.12500 586.29688 592.60156 599.00000 605.50391 612.08984 618.75781 625.49219 632.28516 639.13281 646.03906 652.96484 2.1601548
1.4000 -46899.465 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 25.445312 51.269531 77.511719 104.12109 131.17578 158.54688 186.40625 214.63281 243.25781 272.30078 301.77734 331.57031 361.82422 392.34375 423.33203 454.80859 486.68359 518.84375 551.54688 584.46484 574.21484 566.19141 560.05469 555.55078 552.42578 550.52344 549.67578 549.75000 550.63281 552.24219 554.48047 557.27344 560.57812 564.31641 568.45703 572.96094 576.94531 581.13281 584.62109 588.22266 592.84766 597.62891 602.56250 607.58594 613.78516 620.12109 626.59375 633.17188 639.86328 646.65234 653.51562 660.45703 667.46875 674.54297 681.64844 2.1868610
1.6000 -46929.812 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 31.820312 64.117188 96.781250 129.87500 163.47656 197.43750 231.90625 266.80859 302.01953 337.85547 374.12109 410.64453 447.71875 485.23047 523.14453 561.51172 600.16406 639.45312 679.12891 719.18750 709.01172 701.13672 695.21875 690.95703 688.12109 686.51172 685.94922 686.32031 687.50781 689.39844 691.91797 694.98047 698.54297 702.53516 706.91016 711.64844 715.82422 720.19141 723.81641 727.54688 732.35156 737.28516 742.36328 747.53906 753.90234 760.39844 767.02344 773.75391 780.59766 787.50781 794.50781 801.58203 808.71875 815.90625 823.12891 2.1508420
1.8000 -46263.430 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 27.097656 54.812500 83.203125 112.29688 141.87891 172.08203 203.01562 234.58203 266.82422 299.77344 333.21094 367.49219 402.25000 437.62500 473.71484 510.32812 547.74219 585.74609 624.45703 663.70312 654.48047 647.28516 641.83203 637.87109 635.18359 633.59766 632.97266 633.19922 634.16797 635.78516 637.98438 640.69141 643.85156 647.41406 651.33594 655.58203 659.34766 663.29297 666.57031 669.94531 674.29297 678.75781 683.37109 688.08203 693.86328 699.78516 705.82031 711.96094 718.18750 724.51953 730.91797 737.37500 743.90234 750.48047 757.08984 2.1935446
2.0000 -46639.680 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 26.585938 53.742188 81.414062 109.69531 138.55859 167.94531 197.80469 228.22266 259.18750 290.79297 322.78516 355.56250 388.58203 422.31250 456.69922 491.51953 526.92969 562.76172 599.36719 636.37500 626.87500 619.74219 614.56250 611.01953 608.82812 607.79688 607.75781 608.58594 610.16406 612.36719 615.17578 618.46484 622.20703 626.32031 630.80078 635.57812 639.77344 644.14062 647.75781 651.46094 656.21094 661.08594 666.07812 671.16406 677.39062 683.75000 690.21484 696.76562 703.42578 710.14453 716.93750 723.79297 730.71094 737.66406 744.65625 2.1460481
