Time    U    dU_0    dU_1    dU_2    dU_3    dU_4    dU_5    dU_6    dU_7    dU_8    dU_9    dU_10    dU_11    dU_12    dU_13    dU_14    dU_15    dU_16    dU_17    dU_18    dU_19    dU_20    dU_21    dU_22    dU_23    dU_24    dU_25    dU_26    dU_27    dU_28    dU_29    dU_30    dU_31    dU_32    dU_33    dU_34    dU_35    dU_36    dU_37    dU_38    dU_39    dU_40    dU_41    dU_42    dU_43    dU_44    dU_45    dU_46    dU_47    dU_48    dU_49    dU_50    dU_51    dU_52    dU_53    dU_54    dU_55    dU_56    dU_57    dU_58    dU_59    dU_60    dU_61    dU_62    dU_63    pV
1.0000 -39275.395 -653.26172 -653.26172 -653.26172 -653.26172 -653.26172 -653.26172 -653.26172 -653.26172 -653.26172 -525.94531 -407.50391 -297.84375 -197.08594 -92.800781 0.0000000 81.140625 150.77344 208.88672 255.37109 290.28906 313.73047 325.58594 322.41406 320.16016 318.54688 317.61328 317.21875 317.33594 317.93359 318.97656 320.45703 322.24609 324.33594 326.71094 329.33203 331.95312 334.76953 337.61328 340.34766 343.19531 345.87500 348.50000 351.04688 353.50391 355.87109 358.12500 360.42969 362.89453 365.24609 367.77344 370.47656 374.28516 378.13281 382.03906 385.99219 389.98438 394.00391 398.05469 402.14453 406.26562 410.39453 414.54688 418.73438 422.92188 1.8055016
2.0000 -39119.527 -651.37109 -651.37109 -651.37109 -651.37109 -651.37109 -651.37109 -651.37109 -651.37109 -651.37109 -524.46875 -406.40234 -297.04297 -196.66016 -92.617188 0.0000000 80.960938 150.48828 208.42188 254.95703 289.96094 313.41016 325.44922 320.81641 317.29688 314.50000 312.52344 311.13672 310.35156 310.08203 310.33984 311.06641 312.18750 313.65625 315.43359 317.51172 319.66016 322.01172 324.44141 326.81641 329.31250 331.68359 334.01562 336.30078 338.51562 340.66016 342.71484 344.80469 347.06250 349.22266 351.55078 354.04297 357.57031 361.15234 364.78516 368.46875 372.19922 375.98047 379.78516 383.61719 387.50000 391.39453 395.33203 399.27734 403.23828 1.7929082
3.0000 -39106.223 -673.89844 -673.89844 -673.89844 -673.89844 -673.89844 -673.89844 -673.89844 -673.89844 -673.89844 -542.90234 -420.93359 -307.87500 -203.96094 -96.082031 0.0000000 84.398438 157.08203 217.90234 267.10547 304.53516 330.23828 344.16797 340.74219 338.30859 336.57031 335.55859 335.10156 335.20312 335.82031 336.89453 338.44922 340.31250 342.50391 344.98828 347.73047 350.49219 353.44141 356.41797 359.28906 362.26562 365.08203 367.83203 370.50391 373.08594 375.56250 377.93750 380.34375 382.93359 385.39844 388.05078 390.89062 394.87500 398.92969 403.02344 407.16406 411.34375 415.56250 419.81641 424.10156 428.41406 432.75000 437.11719 441.49609 445.88672 1.7986553
4.0000 -38992.121 -641.14062 -641.14062 -641.14062 -641.14062 -641.14062 -641.14062 -641.14062 -641.14062 -641.14062 -515.69922 -399.14844 -291.44531 -192.61719 -90.441406 0.0000000 79.003906 146.37891 202.17578 246.41016 279.11719 300.22266 309.71094 307.09766 305.34766 304.23438 303.75000 303.78125 304.28516 305.27344 306.64844 308.46094 310.52344 312.86719 315.46875 318.28516 321.07812 324.03125 327.00781 329.85156 332.77734 335.53125 338.21484 340.81250 343.31641 345.71484 348.01172 350.31641 352.81641 355.17578 357.71875 360.44141 364.25000 368.10547 372.01172 375.94141 379.91406 383.91016 387.93359 391.98438 396.05469 400.15625 404.26172 408.39844 412.52734 1.8080310
5.0000 -39174.602 -658.34375 -658.34375 -658.34375 -658.34375 -658.34375 -658.34375 -658.34375 -658.34375 -658.34375 -530.05859 -410.66016 -300.21484 -198.56641 -93.437500 0.0000000 81.972656 152.23047 210.91406 257.86328 293.29297 317.01172 329.13672 324.46094 320.94141 318.17969 316.30859 315.05469 314.44531 314.41406 314.92969 315.96484 317.40625 319.24219 321.42188 323.89844 326.46094 329.25391 332.11719 334.89062 337.81250 340.57812 343.30469 345.96094 348.55469 351.04297 353.42969 355.85938 358.48047 360.98438 363.67188 366.57812 370.64844 374.79688 379.00391 383.27344 387.58594 391.94141 396.35156 400.78906 405.26562 409.77734 414.31641 418.88281 423.45703 1.8166265
6.0000 -39634.258 -652.03516 -652.03516 -652.03516 -652.03125 -652.03125 -652.03516 -652.03516 -652.03125 -652.03516 -524.85156 -406.58594 -297.29688 -196.66797 -92.585938 0.0000000 81.015625 150.49609 208.32812 254.73047 289.56641 312.79688 324.51562 321.57031 319.60547 318.33984 317.78906 317.80859 318.35156 319.42188 320.92969 322.90625 325.16797 327.74219 330.58594 333.67969 336.74609 339.98047 343.23438 346.35938 349.57812 352.58594 355.52734 358.38281 361.13281 363.76562 366.28125 368.81641 371.55469 374.15234 376.94531 379.91797 384.10547 388.33594 392.60938 396.93750 401.29688 405.68359 410.10938 414.55469 419.02344 423.52344 428.04297 432.57812 437.11328 1.7652087
7.0000 -39216.926 -657.16016 -657.16016 -657.16016 -657.16016 -657.16016 -657.16016 -657.16016 -657.16016 -657.16016 -529.10547 -409.97266 -299.70312 -198.36719 -93.394531 0.0000000 81.835938 151.96484 210.53906 257.53516 292.91016 316.69531 328.89453 324.66016 321.55859 319.21484 317.67578 316.75000 316.41016 316.59766 317.26953 318.42578 319.92188 321.75000 323.87109 326.26172 328.69531 331.31641 334.00000 336.57031 339.26562 341.80469 344.29688 346.71875 349.08203 351.33984 353.50000 355.69531 358.07031 360.32031 362.74609 365.34375 369.00391 372.71484 376.47656 380.28125 384.12500 388.00000 391.89844 395.84375 399.81250 403.81250 407.81641 411.85547 415.89844 1.8171567
8.0000 -38919.504 -675.79297 -675.79297 -675.79297 -675.79297 -675.79297 -675.79297 -675.79297 -675.79297 -675.79297 -544.84375 -422.75000 -309.55078 -205.19531 -96.816406 0.0000000 85.218750 158.82031 220.94531 271.29297 310.21094 337.46875 353.21875 348.44922 344.82031 341.91797 339.87109 338.41406 337.56250 337.24219 337.43359 338.10547 339.16016 340.56250 342.28906 344.28906 346.38281 348.66797 351.02734 353.34766 355.76953 358.07812 360.35547 362.58984 364.75781 366.84766 368.85156 370.89062 373.09766 375.20312 377.47656 379.90625 383.34766 386.84766 390.40234 393.99219 397.63672 401.31641 405.02734 408.77734 412.55469 416.36328 420.19922 424.05078 427.91797 1.8028038
9.0000 -39043.535 -640.99219 -640.99219 -640.99219 -640.99219 -640.99219 -640.99219 -640.99219 -640.99219 -640.99219 -515.80859 -399.42188 -291.82812 -192.94922 -90.792969 0.0000000 79.253906 147.09766 203.51953 248.45312 281.92578 303.93750 314.53906 311.80469 309.89062 308.55078 307.81641 307.57422 307.79297 308.45703 309.52344 311.01172 312.76172 314.79688 317.08594 319.60938 322.13281 324.82031 327.55469 330.17188 332.88672 335.45312 337.95312 340.38672 342.73828 345.00000 347.15234 349.34375 351.69922 353.94141 356.35547 358.93750 362.57812 366.25391 369.98047 373.75000 377.55859 381.39844 385.27344 389.18359 393.11719 397.06641 401.03516 405.03125 409.03906 1.8360361
10.0000 -39207.535 -654.66797 -654.67188 -654.67188 -654.66797 -654.66797 -654.66797 -654.66797 -654.66797 -654.66797 -527.04297 -408.30078 -298.42969 -197.47656 -92.906250 0.0000000 81.269531 151.08203 209.18359 255.72656 290.62891 313.94141 325.69922 324.48438 323.92188 323.90234 324.35938 325.27344 326.58203 328.30469 330.35547 332.80078 335.42969 338.28125 341.35938 344.61328 347.78516 351.09375 354.39062 357.50391 360.70703 363.69141 366.58203 369.37500 372.05859 374.61719 377.05469 379.51562 382.14844 384.65625 387.33984 390.19922 394.20312 398.25391 402.32812 406.44141 410.58594 414.74219 418.92969 423.14062 427.36328 431.60938 435.85938 440.14062 444.40625 1.8243001
11.0000 -39438.578 -648.01172 -648.01172 -648.01172 -648.01172 -648.01172 -648.01172 -648.01172 -648.01172 -648.01172 -521.75000 -404.25000 -295.46875 -195.49609 -92.011719 0.0000000 80.585938 149.67969 207.35938 253.53516 288.26562 311.58203 323.37891 320.40625 318.32812 316.87891 316.10547 315.84766 316.11719 316.86719 318.05078 319.68359 321.61719 323.84375 326.36719 329.13281 331.90234 334.85547 337.83594 340.71094 343.69141 346.49609 349.23047 351.89844 354.47656 356.94531 359.30859 361.69922 364.28125 366.73438 369.37500 372.20703 376.17578 380.20703 384.28906 388.41016 392.57812 396.79297 401.02734 405.30078 409.60156 413.92578 418.27344 422.65234 427.02734 1.7994689
12.0000 -39024.484 -654.93750 -654.93750 -654.93750 -654.93750 -654.93750 -654.93750 -654.93750 -654.93750 -654.93750 -526.87891 -407.87891 -297.83594 -196.83594 -92.582031 0.0000000 80.796875 149.74219 206.83203 252.30469 285.85156 307.75000 317.68750 314.47266 312.20312 310.60547 309.72266 309.37500 309.56641 310.26562 311.40625 312.98828 314.89062 317.09766 319.57812 322.32031 325.05859 327.97656 330.92969 333.76172 336.69922 339.46484 342.17578 344.79688 347.33203 349.76562 352.08984 354.44531 356.98438 359.39062 361.98047 364.76562 368.65625 372.61328 376.61328 380.65625 384.72656 388.84766 392.99609 397.16797 401.36719 405.58203 409.83984 414.10156 418.36719 1.8090026
13.0000 -39432.465 -666.81250 -666.81250 -666.81250 -666.81250 -666.81250 -666.81250 -666.81250 -666.81250 -666.81250 -537.08594 -416.39453 -304.63672 -201.70703 -94.996094 0.0000000 83.457031 155.17188 215.32422 263.75781 300.58203 325.78125 339.26562 337.08984 335.73047 334.97266 334.83203 335.16016 335.96094 337.20312 338.85156 340.89844 343.18750 345.74219 348.53125 351.54297 354.49609 357.61719 360.73438 363.69922 366.76172 369.62109 372.41016 375.10547 377.69922 380.17578 382.54688 384.93359 387.49609 389.94141 392.56250 395.34766 399.27734 403.24219 407.24219 411.27734 415.34766 419.44531 423.56641 427.71484 431.87891 436.06250 440.26562 444.48828 448.71094 1.7934064
14.0000 -39198.703 -659.32812 -659.32812 -659.32812 -659.32812 -659.32812 -659.32812 -659.32812 -659.32812 -659.32812 -530.80859 -411.21875 -300.63672 -198.93359 -93.636719 0.0000000 82.011719 152.34375 211.01172 258.02344 293.39453 317.04688 329.10547 325.32422 322.55078 320.48047 319.14453 318.37500 318.15234 318.42578 319.17188 320.37109 321.89844 323.73438 325.85938 328.25000 330.66406 333.25781 335.90625 338.46094 341.12500 343.63672 346.10156 348.50000 350.82031 353.05469 355.18750 357.35547 359.69531 361.91797 364.30859 366.87500 370.48047 374.14062 377.84375 381.58984 385.37891 389.19141 393.05078 396.93359 400.84375 404.77344 408.72266 412.69141 416.67578 1.8058802
15.0000 -39267.148 -647.30859 -647.30859 -647.30859 -647.30859 -647.30859 -647.30859 -647.30859 -647.30859 -647.30859 -521.05078 -403.62891 -295.07422 -195.12891 -91.855469 0.0000000 80.296875 149.26953 206.69531 252.66016 287.03906 310.03516 321.48438 318.60938 316.63281 315.29297 314.60547 314.43750 314.77344 315.57031 316.77734 318.42188 320.33203 322.54688 325.01172 327.70312 330.39844 333.25781 336.13672 338.89062 341.75391 344.43750 347.05859 349.60156 352.05859 354.41406 356.65625 358.94141 361.39062 363.71875 366.22656 368.90234 372.67188 376.48047 380.33203 384.23047 388.15625 392.11328 396.10547 400.12500 404.16406 408.23828 412.31250 416.41797 420.52734 1.8107685
