Time    U    dU_0    dU_1    dU_2    dU_3    dU_4    dU_5    dU_6    dU_7    dU_8    dU_9    dU_10    dU_11    dU_12    dU_13    dU_14    dU_15    dU_16    dU_17    dU_18    dU_19    dU_20    dU_21    dU_22    dU_23    dU_24    dU_25    dU_26    dU_27    dU_28    dU_29    dU_30    dU_31    dU_32    dU_33    dU_34    dU_35    dU_36    dU_37    dU_38    dU_39    dU_40    dU_41    dU_42    dU_43    dU_44    dU_45    dU_46    dU_47    dU_48    dU_49    dU_50    dU_51    dU_52    dU_53    dU_54    dU_55    dU_56    dU_57    dU_58    dU_59    dU_60    dU_61    dU_62    dU_63    pV
1.0000 -38997.184 -849.07422 -849.07422 -849.07422 -849.07422 -849.07422 -849.07422 -849.07422 -849.07422 -849.07422 -726.89453 -613.58203 -509.10156 -413.44531 -315.05469 -228.21094 -152.79297 -89.152344 -36.964844 3.6601562 32.707031 50.164062 56.058594 42.789062 32.355469 23.492188 16.574219 10.800781 6.2460938 2.6367188 0.0000000 -1.8476562 -2.8789062 -3.2734375 -3.1132812 -2.4414062 -1.4257812 -0.085937500 1.5117188 3.1914062 5.0703125 6.9453125 8.8554688 10.781250 12.703125 14.582031 16.410156 18.304688 20.371094 22.367188 24.542969 26.894531 30.261719 33.707031 37.246094 40.859375 44.550781 48.300781 52.113281 55.980469 59.890625 63.843750 67.843750 71.886719 75.945312 1.7973390
2.0000 -38714.922 -845.31250 -845.31250 -845.31250 -845.31250 -845.31250 -845.31250 -845.31250 -845.31250 -845.31250 -723.76562 -611.08203 -507.25781 -412.37500 -314.76562 -228.78906 -154.35938 -91.593750 -40.378906 -0.85937500 27.179688 43.492188 48.285156 36.800781 27.734375 20.039062 14.050781 9.0742188 5.1914062 2.1562500 0.0000000 -1.4414062 -2.1523438 -2.2929688 -1.9218750 -1.1015625 0.011718750 1.4257812 3.0546875 4.7656250 6.6367188 8.4882812 10.382812 12.273438 14.140625 15.972656 17.750000 19.582031 21.582031 23.511719 25.613281 27.882812 31.105469 34.421875 37.808594 41.269531 44.796875 48.371094 52.007812 55.699219 59.429688 63.203125 67.003906 70.851562 74.710938 1.8107821
3.0000 -38930.254 -825.79688 -825.79688 -825.79688 -825.79688 -825.79688 -825.79688 -825.79688 -825.79688 -825.79688 -703.28906 -589.75391 -485.00000 -389.12891 -290.51953 -203.46875 -128.06641 -64.324219 -12.085938 28.468750 57.453125 74.773438 80.562500 62.359375 47.871094 35.414062 25.511719 17.042969 10.171875 4.4648438 0.0000000 -3.4882812 -5.9101562 -7.5351562 -8.4453125 -8.7500000 -8.5273438 -7.8906250 -6.9257812 -5.7578125 -4.3476562 -2.8789062 -1.3046875 0.30859375 1.9531250 3.5898438 5.2148438 6.9023438 8.7656250 10.582031 12.578125 14.761719 17.886719 21.128906 24.472656 27.910156 31.433594 35.035156 38.703125 42.437500 46.234375 50.074219 53.976562 57.914062 61.890625 1.8150448
4.0000 -39118.113 -852.29297 -852.29297 -852.29297 -852.29297 -852.29297 -852.29297 -852.29297 -852.29297 -852.29297 -730.71484 -617.82422 -513.85547 -418.65625 -320.69141 -234.21484 -159.31641 -95.917969 -44.003906 -3.7148438 25.113281 42.417969 48.222656 36.703125 27.621094 19.925781 13.937500 8.9687500 5.1054688 2.1171875 0.0000000 -1.3671875 -2.0039062 -2.0546875 -1.5898438 -0.66406250 0.56250000 2.1015625 3.8476562 5.6601562 7.6601562 9.6328125 11.625000 13.628906 15.601562 17.531250 19.414062 21.351562 23.457031 25.484375 27.691406 30.074219 33.480469 36.957031 40.519531 44.160156 47.855469 51.617188 55.437500 59.304688 63.210938 67.164062 71.152344 75.191406 79.234375 1.8077575
5.0000 -38906.867 -847.88672 -847.88672 -847.88672 -847.88672 -847.88672 -847.88672 -847.88672 -847.88672 -847.88672 -727.04688 -615.12109 -511.80078 -417.23047 -319.92188 -233.96484 -159.30469 -96.167969 -44.421875 -4.0390625 24.941406 42.464844 48.621094 36.777344 27.511719 19.750000 13.753906 8.8164062 5.0039062 2.0546875 0.0000000 -1.3359375 -1.9570312 -1.9960938 -1.5351562 -0.63281250 0.56250000 2.0507812 3.7382812 5.4882812 7.4179688 9.3164062 11.238281 13.152344 15.046875 16.902344 18.707031 20.554688 22.582031 24.527344 26.644531 28.921875 32.167969 35.500000 38.902344 42.386719 45.914062 49.500000 53.144531 56.835938 60.566406 64.339844 68.144531 71.980469 75.839844 1.7940946
6.0000 -38733.105 -888.41406 -888.41406 -888.41406 -888.41406 -888.41406 -888.41406 -888.41406 -888.41406 -888.41406 -763.83203 -648.00781 -541.07422 -442.99609 -341.73438 -252.06641 -173.94922 -107.36328 -52.367188 -8.8906250 22.953125 43.312500 52.054688 40.078125 30.511719 22.328125 15.867188 10.421875 6.0898438 2.5976562 0.0000000 -1.8632812 -3.0000000 -3.5351562 -3.5625000 -3.1289062 -2.3671875 -1.2968750 -0.011718750 1.3828125 2.9492188 4.5273438 6.1367188 7.7695312 9.4023438 10.996094 12.562500 14.183594 15.941406 17.656250 19.511719 21.539062 24.429688 27.394531 30.445312 33.546875 36.730469 39.960938 43.238281 46.566406 49.941406 53.351562 56.796875 60.277344 63.777344 1.8115928
7.0000 -38430.426 -863.24219 -863.24219 -863.24219 -863.24219 -863.24219 -863.24219 -863.24219 -863.24219 -863.24219 -739.01953 -623.64844 -517.26172 -419.78516 -319.35938 -230.48047 -153.33984 -87.890625 -34.015625 8.1445312 38.667969 57.535156 64.742188 50.187500 38.519531 28.445312 20.421875 13.582031 8.0429688 3.4921875 0.0000000 -2.6679688 -4.4257812 -5.4960938 -5.9531250 -5.8515625 -5.3398438 -4.4531250 -3.2968750 -1.9882812 -0.45312500 1.1132812 2.7421875 4.4101562 6.0859375 7.7578125 9.3906250 11.085938 12.949219 14.765625 16.746094 18.902344 22.000000 25.195312 28.480469 31.855469 35.308594 38.828125 42.410156 46.050781 49.750000 53.496094 57.285156 61.121094 64.980469 1.8365225
8.0000 -39233.539 -857.00391 -857.00391 -857.00391 -857.00391 -857.00391 -857.00391 -857.00391 -857.00391 -857.00391 -734.62891 -620.94531 -516.05078 -419.90234 -320.90234 -233.35938 -157.21875 -92.730469 -39.640625 1.9570312 32.062500 50.632812 57.757812 44.492188 33.890625 24.804688 17.632812 11.582031 6.7539062 2.8828125 0.0000000 -2.0781250 -3.3125000 -3.8906250 -3.8867188 -3.3710938 -2.4765625 -1.2382812 0.25781250 1.8593750 3.6796875 5.5039062 7.3710938 9.2500000 11.128906 12.984375 14.789062 16.660156 18.710938 20.691406 22.847656 25.187500 28.535156 31.968750 35.500000 39.105469 42.804688 46.546875 50.367188 54.238281 58.156250 62.121094 66.140625 70.187500 74.265625 1.7980888
9.0000 -38832.863 -874.71875 -874.71875 -874.71875 -874.71875 -874.71875 -874.71875 -874.71875 -874.71875 -874.71875 -751.03516 -636.26172 -530.36719 -433.32422 -333.32031 -244.83594 -167.94141 -102.60547 -48.945312 -6.8398438 23.675781 42.605469 49.960938 38.593750 29.437500 21.535156 15.265625 9.9843750 5.7851562 2.4414062 0.0000000 -1.6914062 -2.6093750 -2.9023438 -2.6523438 -1.9023438 -0.81250000 0.61328125 2.2695312 4.0390625 6.0039062 7.9414062 9.9335938 11.941406 13.921875 15.882812 17.789062 19.757812 21.902344 23.980469 26.246094 28.691406 32.179688 35.773438 39.457031 43.230469 47.066406 50.972656 54.945312 58.968750 63.046875 67.175781 71.351562 75.558594 79.796875 1.7812794
10.0000 -38939.957 -833.95312 -833.95312 -833.95312 -833.95312 -833.95312 -833.95312 -833.95312 -833.95312 -833.95312 -712.65625 -600.22656 -496.66797 -402.02734 -304.92188 -219.36328 -145.52734 -83.277344 -32.714844 6.2148438 33.503906 49.089844 53.058594 40.574219 30.691406 22.296875 15.718750 10.234375 5.9179688 2.4960938 0.0000000 -1.7421875 -2.7031250 -3.0585938 -2.8750000 -2.2187500 -1.2343750 0.070312500 1.6054688 3.2265625 5.0312500 6.8359375 8.6718750 10.511719 12.347656 14.148438 15.898438 17.714844 19.687500 21.597656 23.675781 25.921875 29.132812 32.421875 35.804688 39.253906 42.777344 46.347656 49.984375 53.656250 57.390625 61.156250 64.968750 68.808594 72.675781 1.8105923
